task,round,global_round,task_progress,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,fpr,loss
2,1,121,2.0125,44.1496,44.1496,44.8123,77.7527,44.1496,48.7332,44.1496,44.1496,32.7749,45.4837,97.5569,8.255995
2,2,122,2.025,51.0072,51.0072,51.1925,76.3222,51.0072,58.6791,51.0072,51.0072,42.0268,56.0609,87.2429,6.592441
2,3,123,2.0375,43.1217,43.1217,52.9976,81.1982,43.1217,56.4061,43.1217,43.1217,40.8956,47.8236,98.2827,7.451682
2,4,124,2.05,33.1476,33.1476,46.7111,80.9121,33.1476,45.2874,33.1476,33.1476,29.8835,36.1308,99.2639,8.550451
2,5,125,2.0625,38.2957,38.2957,53.1676,81.4226,38.2957,54.233,38.2957,38.2957,38.8485,42.9975,98.5325,7.781381
2,6,126,2.075,26.946,26.946,42.782,76.6399,26.946,40.9597,26.946,26.946,24.2729,28.2931,99.9146,9.333962
2,7,127,2.0875,43.8028,43.8028,54.0131,82.557,43.8028,57.5564,43.8028,43.8028,41.5158,48.0318,99.617,7.73595
2,8,128,2.1,26.3519,26.3519,36.2773,62.5898,26.3519,40.1891,26.3519,26.3519,22.8059,27.8139,99.9037,9.953773
2,9,129,2.1125,45.8784,45.8784,48.8368,70.3969,45.8784,58.9468,45.8784,45.8784,42.5092,50.3022,96.677,7.688655
2,10,130,2.125,28.069,28.069,40.5821,71.5669,28.069,41.6515,28.069,28.069,24.2955,29.0223,99.9958,8.939276
2,11,131,2.1375,39.6008,39.6008,52.4843,81.4066,39.6008,55.2348,39.6008,39.6008,39.379,44.5145,99.9152,8.328539
2,12,132,2.15,36.2803,36.2803,51.5107,75.5126,36.2803,52.9063,36.2803,36.2803,38.542,40.9347,99.9963,8.705895
2,13,133,2.1625,26.2301,26.2301,31.1569,40.258,26.2301,40.5541,26.2301,26.2301,25.0762,27.7997,99.9983,10.489441
2,14,134,2.175,26.5378,26.5378,31.0157,45.2145,26.5378,40.5171,26.5378,26.5378,24.3939,27.9808,99.9943,10.206138
2,15,135,2.1875,30.484,30.484,37.8771,58.6016,30.484,43.1828,30.484,30.484,27.9824,32.4269,99.9992,9.01939
2,16,136,2.2,41.2375,41.2375,50.1887,70.1751,41.2375,54.8966,41.2375,41.2375,40.8144,46.9997,96.2929,8.297395
2,17,137,2.2125,32.657,32.657,45.0525,76.1594,32.657,44.4945,32.657,32.657,28.9245,37.5745,99.9994,9.137799
2,18,138,2.225,34.3788,34.3788,49.5129,66.5477,34.3788,51.6488,34.3788,34.3788,38.3741,39.9478,98.0415,8.624756
2,19,139,2.2375,25.3543,25.3543,42.6156,73.4469,25.3543,40.2617,25.3543,25.3543,24.9824,27.3132,99.9995,9.893884
2,20,140,2.25,34.3763,34.3763,42.4315,67.2979,34.3763,45.5366,34.3763,34.3763,31.873,39.9608,96.9322,8.521305
2,21,141,2.2625,37.4081,37.4081,43.9035,70.6289,37.4081,46.5938,37.4081,37.4081,33.141,42.3482,99.8029,8.911802
2,22,142,2.275,23.8404,23.8404,40.9216,71.6044,23.8404,38.0858,23.8404,23.8404,24.3418,26.2419,99.9968,10.85122
2,23,143,2.2875,35.0588,35.0588,42.4908,65.8029,35.0588,46.1161,35.0588,35.0588,32.5439,40.4024,99.999,9.113813
2,24,144,2.3,41.9191,41.9191,53.268,81.0738,41.9191,56.2617,41.9191,41.9191,42.0832,47.0853,98.727,8.336425
2,25,145,2.3125,34.2145,34.2145,44.6484,78.3432,34.2145,46.3871,34.2145,34.2145,31.6368,39.4299,99.9991,8.838688
2,26,146,2.325,25.4503,25.4503,34.9059,53.871,25.4503,39.3767,25.4503,25.4503,23.8482,27.1988,99.9935,10.160747
2,27,147,2.3375,33.694,33.694,45.9153,79.1362,33.694,44.7507,33.694,33.694,31.4653,38.8427,99.9114,8.675946
2,28,148,2.35,28.53,28.53,42.4869,66.6508,28.53,42.143,28.53,28.53,28.2131,31.2274,99.9998,9.426352
2,29,149,2.3625,29.2752,29.2752,44.5778,75.6924,29.2752,42.8524,29.2752,29.2752,28.0882,32.2061,99.9828,9.34374
2,30,150,2.375,38.6372,38.6372,48.8542,70.5244,38.6372,46.6682,38.6372,38.6372,32.0837,44.9878,95.7136,7.787498
2,31,151,2.3875,33.846,33.846,44.7993,79.7934,33.846,45.2296,33.846,33.846,30.2246,38.68,99.9815,8.59975
2,32,152,2.4,36.8422,36.8422,50.3194,70.226,36.8422,53.9793,36.8422,36.8422,40.0322,42.2112,99.9995,9.003636
